clause_id,clause,reply,remark,answer,times_used
1142,"Equipment Removal: After acceptance of new fire-alarm system, remove existing disconnected fire-alarm equipment and wiring.",Comply,,Comply,21
1142,"Equipment Removal: After acceptance of new fire-alarm system, remove existing disconnected fire-alarm equipment and wiring.",Noted,,Noted,9
1142,"Equipment Removal: After acceptance of new fire-alarm system, remove existing disconnected fire-alarm equipment and wiring.",Noted,"Existing Equipments are not applicable , all are new.",Noted,3
1143,"Technical Support: Beginning with Substantial Completion, provide software support for two years",Comply,,Comply,28
1143,"Technical Support: Beginning with Substantial Completion, provide software support for two years",Comply,Please refer the confirmation letter in section -12.,Comply,7
1143,"Technical Support: Beginning with Substantial Completion, provide software support for two years",comply,,Comply,2
1144,Upgrade Service: Update software to latest version at Project completion. Install and program software upgrades that become available within two years from date of Substantial Completion. Upgrading software shall include operating system. Upgrade shall include new or revised licenses for use of software.,Comply,,Comply,28
1144,Upgrade Service: Update software to latest version at Project completion. Install and program software upgrades that become available within two years from date of Substantial Completion. Upgrading software shall include operating system. Upgrade shall include new or revised licenses for use of software.,Comply,Please refer the confirmation letter in section -12.,Comply,7
1144,Upgrade Service: Update software to latest version at Project completion. Install and program software upgrades that become available within two years from date of Substantial Completion. Upgrading software shall include operating system. Upgrade shall include new or revised licenses for use of software.,comply,,Comply,2
1145,"Lamps for Remote Indicating Lamp Units: Quantity equal to 10 percent of amount installed, but no fewer than 1 unit.",Comply,,Comply,16
1145,"Lamps for Remote Indicating Lamp Units: Quantity equal to 10 percent of amount installed, but no fewer than 1 unit.",Comply,Please refer the extra materials list in section -12.,Comply,7
1146,"Lamps for Strobe Units: Quantity equal to 10 percent of amount installed, but no fewer than 1 unit.",Comply,,Comply,21
1146,"Lamps for Strobe Units: Quantity equal to 10 percent of amount installed, but no fewer than 1 unit.",Comply,Please refer the extra materials list in section -12.,Comply,2
1147,"Smoke Detectors, Fire Detectors: Quantity equal to 10 percent of amount of each type installed, but no fewer than 1 unit of each type.",Comply,,Comply,19
1147,"Smoke Detectors, Fire Detectors: Quantity equal to 10 percent of amount of each type installed, but no fewer than 1 unit of each type.",Comply,Please refer the extra materials list in section -12.,Comply,2
1148,"Detector Bases: Quantity equal to 2 percent of amount of each type installed, but no fewer than 1 unit of each type.",Comply,,Comply,21
1148,"Detector Bases: Quantity equal to 2 percent of amount of each type installed, but no fewer than 1 unit of each type.",Comply,Please refer the extra materials list in section -12.,Comply,2
1149,Keys and Tools: One extra set for access to locked and tamper proofed components.,Comply,,Comply,24
1149,Keys and Tools: One extra set for access to locked and tamper proofed components.,COMPLY,,Comply,2
1149,Keys and Tools: One extra set for access to locked and tamper proofed components.,Comply,Please refer the extra materials list in section -12.,Comply,2
1149,Keys and Tools: One extra set for access to locked and tamper proofed components.,Comply,Final quantities will be finalized after completing shop drawings.,Comply,1
1150,Fuses: Two of each type installed in the system.,Comply,,Comply,7
1150,Fuses: Two of each type installed in the system.,Not applicable,,Not applicable,3
1150,Fuses: Two of each type installed in the system.,Noted,,Noted,1
1150,Fuses: Two of each type installed in the system.,Comply,Final quantities will be finalized after completing shop drawings.,Comply,1
1151,Material & Products proposed by the contractor shall be compliant with the specification . All material submittals shall be approved by the Engineer prior to procurement.,Comply,EST3 system proposed.,Comply,4
1152,Refer to the approved Supplier list in the General Requirment and scope of work.,Comply,,Comply,4
1153,Fire-alarm signal initiation shall be by one or more of the following devices and systems:,Comply,,Comply,10
1153,Fire-alarm signal initiation shall be by one or more of the following devices and systems:,Comply,Proposed EST3 Fire Alarm & Fire Telephone system manufactured in line with NFPA/BS requirement with UL/LPCB FM and other related international standard,Comply,1
1154,Manual stations.,Comply,,Comply,38
1154,Manual stations.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1154,Manual stations.,Comply,Same as above,Comply,1
1155,Duct smoke detectors.,Comply,,Comply,23
1155,Duct smoke detectors.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1155,Duct smoke detectors.,Not applicable,,Not applicable,3
1156,Verified automatic alarm operation of smoke detectors.,Comply,,Comply,27
1156,Verified automatic alarm operation of smoke detectors.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1157,Automatic sprinkler system water flow.,Comply,,Comply,25
1157,Automatic sprinkler system water flow.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1157,Automatic sprinkler system water flow.,Comply,By FF sub-contractor. Monitoring from FAS shall be provided.,Comply,3
1157,Automatic sprinkler system water flow.,Comply as noted,Alarm signal will be received to FACP through monitor module SIGA-CT refer to Section 6 Page 113-116.,Noted,1
1158,Heat detectors in elevator shaft and pit.,Comply,,Comply,15
1158,Heat detectors in elevator shaft and pit.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1159,Fire-extinguishing system operation.,Comply,,Comply,23
1159,Fire-extinguishing system operation.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1159,Fire-extinguishing system operation.,Comply,By FF sub-contractor. Monitoring from FAS shall be provided.,Comply,3
1159,Fire-extinguishing system operation.,Comply as noted,Alarm signal will be received to FACP through monitor module SIGA-CT refer to Section 6 Page 113-116.,Noted,1
1160,Fire standpipe system.,Comply,,Comply,15
1160,Fire standpipe system.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1160,Fire standpipe system.,Noted,,Noted,4
1160,Fire standpipe system.,Comply,By FF sub-contractor. Monitoring from FAS shall be provided.,Comply,3
1160,Fire standpipe system.,Comply as noted,Alarm signal will be received to FACP through monitor module SIGA-CT refer to Section 6 Page 113-116.,Noted,1
1161,Fire-alarm signal shall initiate the following actions,Comply,,Comply,14
1161,Fire-alarm signal shall initiate the following actions,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1161,Fire-alarm signal shall initiate the following actions,Comply.,"Please refer section 9: Product data sheets, page no 12 of 127.",Comply,3
1161,Fire-alarm signal shall initiate the following actions,Comply As noted,Smoke Control system Unit Not Applicable,Noted,2
1161,Fire-alarm signal shall initiate the following actions,Comply,Smoke Control system Unit & Voice Alarm Communication are Not Applicable,Comply,1
1161,Fire-alarm signal shall initiate the following actions,Comply As noted,Smoke Control is integrated with Main FACP by providing the required Switches for manula controlling of smoke management equipment.,Noted,1
1162,Continuously operate alarm notification appliances.,Comply,,Comply,14
1162,Continuously operate alarm notification appliances.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1162,Continuously operate alarm notification appliances.,Comply As noted,Smoke Control system Unit Not Applicable,Noted,2
1162,Continuously operate alarm notification appliances.,Comply,Smoke Control system Unit & Voice Alarm Communication are Not Applicable,Comply,1
1162,Continuously operate alarm notification appliances.,Comply As noted,Smoke Control is integrated with Main FACP by providing the required Switches for manula controlling of smoke management equipment.,Noted,1
1163,Identify alarm at Fire-Alarm Control unit.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1163,Identify alarm at Fire-Alarm Control unit.,Comply,,Comply,4
1163,Identify alarm at Fire-Alarm Control unit.,Comply As noted,Smoke Control system Unit Not Applicable,Noted,2
1163,Identify alarm at Fire-Alarm Control unit.,Comply,Smoke Control system Unit & Voice Alarm Communication are Not Applicable,Comply,1
1163,Identify alarm at Fire-Alarm Control unit.,Comply As noted,Smoke Control is integrated with Main FACP by providing the required Switches for manula controlling of smoke management equipment.,Noted,1
1164,"Switch heating, ventilating, and air-conditioning equipment controls to fire-alarm mode.",Comply,,Comply,19
1164,"Switch heating, ventilating, and air-conditioning equipment controls to fire-alarm mode.",Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1164,"Switch heating, ventilating, and air-conditioning equipment controls to fire-alarm mode.",Comply As noted,Smoke Control system Unit Not Applicable,Noted,2
1164,"Switch heating, ventilating, and air-conditioning equipment controls to fire-alarm mode.",Comply,Smoke Control system Unit & Voice Alarm Communication are Not Applicable,Comply,1
1164,"Switch heating, ventilating, and air-conditioning equipment controls to fire-alarm mode.",Comply,Alarm Signal will be sent from FACP through Control module SIGA-CR. Refer to Section 6 page 117-122.,Comply,1
1164,"Switch heating, ventilating, and air-conditioning equipment controls to fire-alarm mode.",Comply As noted,Smoke Control is integrated with Main FACP by providing the required Switches for manula controlling of smoke management equipment.,Noted,1
1165,Activate smoke-control system (smoke management) at firefighter smoke-control system Unit.,Comply As noted,Smoke Control system Unit Not Applicable,Noted,2
1165,Activate smoke-control system (smoke management) at firefighter smoke-control system Unit.,Comply,Smoke Control system Unit & Voice Alarm Communication are Not Applicable,Comply,1
1165,Activate smoke-control system (smoke management) at firefighter smoke-control system Unit.,Comply As noted,Smoke Control is integrated with Main FACP by providing the required Switches for manula controlling of smoke management equipment.,Noted,1
1166,Close smoke dampers in air ducts of designated air-conditioning duct systems.,Comply,,Comply,15
1166,Close smoke dampers in air ducts of designated air-conditioning duct systems.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1166,Close smoke dampers in air ducts of designated air-conditioning duct systems.,Comply As noted,Smoke Control system Unit Not Applicable,Noted,2
1166,Close smoke dampers in air ducts of designated air-conditioning duct systems.,Comply,Smoke Control system Unit & Voice Alarm Communication are Not Applicable,Comply,1
1166,Close smoke dampers in air ducts of designated air-conditioning duct systems.,Comply As noted,Smoke Control is integrated with Main FACP by providing the required Switches for manula controlling of smoke management equipment.,Noted,1
1167,Activate emergency shutoffs for gas and fuel supplies.,Comply,,Comply,23
1167,Activate emergency shutoffs for gas and fuel supplies.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1167,Activate emergency shutoffs for gas and fuel supplies.,Comply As noted,Smoke Control system Unit Not Applicable,Noted,2
1167,Activate emergency shutoffs for gas and fuel supplies.,Comply,Smoke Control system Unit & Voice Alarm Communication are Not Applicable,Comply,1
1167,Activate emergency shutoffs for gas and fuel supplies.,Comply As noted,Smoke Control is integrated with Main FACP by providing the required Switches for manula controlling of smoke management equipment.,Noted,1
1168,Valve supervisory switch.,Comply,,Comply,22
1168,Valve supervisory switch.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1169,Low-air-pressure switch of a dry-pipe sprinkler system.,Comply,,Comply,20
1169,Low-air-pressure switch of a dry-pipe sprinkler system.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1170,Loss of primary power at Fire-Alarm Control Unit.,Comply,,Comply,39
1170,Loss of primary power at Fire-Alarm Control Unit.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1170,Loss of primary power at Fire-Alarm Control Unit.,COMPLY,,Comply,2
1170,Loss of primary power at Fire-Alarm Control Unit.,Comply.,,Comply,1
1170,Loss of primary power at Fire-Alarm Control Unit.,Not Applicable,,Not applicable,1
1171,Ground or a single break in Fire-Alarm Control Unit internal circuits.,Comply,,Comply,39
1171,Ground or a single break in Fire-Alarm Control Unit internal circuits.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1171,Ground or a single break in Fire-Alarm Control Unit internal circuits.,COMPLY,,Comply,2
1171,Ground or a single break in Fire-Alarm Control Unit internal circuits.,Comply.,,Comply,1
1171,Ground or a single break in Fire-Alarm Control Unit internal circuits.,Not Applicable,,Not applicable,1
1172,Abnormal ac voltage at Fire-Alarm Control Unit..,Comply,,Comply,39
1172,Abnormal ac voltage at Fire-Alarm Control Unit..,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1172,Abnormal ac voltage at Fire-Alarm Control Unit..,COMPLY,,Comply,2
1172,Abnormal ac voltage at Fire-Alarm Control Unit..,Comply.,,Comply,1
1172,Abnormal ac voltage at Fire-Alarm Control Unit..,Not Applicable,,Not applicable,1
1173,Abnormal position of any switch at Fire-Alarm Control Unit or annunciator.,Comply,,Comply,15
1173,Abnormal position of any switch at Fire-Alarm Control Unit or annunciator.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1174,"Fire-pump power failure, including a dead-phase or phase-reversal condition",Comply,,Comply,26
1174,"Fire-pump power failure, including a dead-phase or phase-reversal condition",Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1174,"Fire-pump power failure, including a dead-phase or phase-reversal condition",Comply,Trouble Identification by Fire Alarm Control Panel EST3 3-LCD and FARP.,Comply,1
1175,Low-air-pressure switch operation on a dry-pipe or preaction sprinkler system.,,C & E matrix will be submitted & obtained approval separately.,,13
1175,Low-air-pressure switch operation on a dry-pipe or preaction sprinkler system.,Comply,,Comply,8
1176,System Trouble and Supervisory Signal Actions: Initiate notification appliance and annunciate at Fire-Alarm Control Unit and remote annunciators. Record the event on system printer.,Comply,,Comply,8
1177,"Field-programmable, microprocessor-based, modular, power-limited design with electronic modules, complying with UL 864 and listed and labeled by an NRTL.",Comply,"Please refer section-9, page no. 1-40.",Comply,11
1177,"Field-programmable, microprocessor-based, modular, power-limited design with electronic modules, complying with UL 864 and listed and labeled by an NRTL.",Comply,,Comply,10
1177,"Field-programmable, microprocessor-based, modular, power-limited design with electronic modules, complying with UL 864 and listed and labeled by an NRTL.",Comply,Product is UL listed & comply with NFPA.,Comply,4
1178,"a. System software and programs shall be held in flash electrically erasable programmable read-only memory (EEPROM), retaining the information through failure of primary and secondary power supplies.",Comply,Product is UL listed & comply with NFPA.,Comply,4
1178,"a. System software and programs shall be held in flash electrically erasable programmable read-only memory (EEPROM), retaining the information through failure of primary and secondary power supplies.",Comply,,Comply,1
1179,b. Include a real-time clock for time annotation of events on the event recorder and printer.,Comply,Product is UL listed & comply with NFPA.,Comply,4
1179,b. Include a real-time clock for time annotation of events on the event recorder and printer.,Comply,,Comply,1
1180,Addressable initiation devices that communicate device identity and status.,Comply,,Comply,15
1180,Addressable initiation devices that communicate device identity and status.,Comply,"Please refer section-9, page no. 1-40.",Comply,11
1181,a. Smoke sensors shall additionally communicate sensitivity setting and allow for adjustment of sensitivity at Fire-Alarm Control unit.,Comply,,Comply,4
1182,b. Temperature sensors shall additionally test for and communicate the sensitivity range of the device.,Comply,,Comply,4
1183,Addressable control circuits for operation of mechanical equipment.,Comply,,Comply,24
1183,Addressable control circuits for operation of mechanical equipment.,Comply,"Please refer section-9, page no. 1-40.",Comply,11
1184,"Alphanumeric Display and System Controls: Arranged for interface between human operator at Fire-Alarm Control Unit and addressable system components including annunciation and supervision. Display alarm, supervisory, and component status messages and the programming and control menu.",Comply,"Please refer section-9, page no. 1-40.",Comply,11
1184,"Alphanumeric Display and System Controls: Arranged for interface between human operator at Fire-Alarm Control Unit and addressable system components including annunciation and supervision. Display alarm, supervisory, and component status messages and the programming and control menu.",Comply,,Comply,10
1184,"Alphanumeric Display and System Controls: Arranged for interface between human operator at Fire-Alarm Control Unit and addressable system components including annunciation and supervision. Display alarm, supervisory, and component status messages and the programming and control menu.",Comply.,"Please refer section 9: Product data sheets, page no 21-24 of 127.",Comply,3
1184,"Alphanumeric Display and System Controls: Arranged for interface between human operator at Fire-Alarm Control Unit and addressable system components including annunciation and supervision. Display alarm, supervisory, and component status messages and the programming and control menu.",Comply as noted,"Programming will be done by PC , Proposed Fire Alarm Control Panel has the display of 8 lines by 21 characters.",Noted,3
1184,"Alphanumeric Display and System Controls: Arranged for interface between human operator at Fire-Alarm Control Unit and addressable system components including annunciation and supervision. Display alarm, supervisory, and component status messages and the programming and control menu.",Comply,Programming by PC,Comply,1
1185,"Annunciator and Display: Liquid-crystal type, 2 line(s) of 80 characters, minimum.",Comply,Programming by PC,Comply,1
1186,"Keypad: Arranged to permit entry and execution of programming, display, and control commands and to indicate control commands to be entered into the system for control of smoke-detector sensitivity and other parameters.",Comply,,Comply,14
1186,"Keypad: Arranged to permit entry and execution of programming, display, and control commands and to indicate control commands to be entered into the system for control of smoke-detector sensitivity and other parameters.",Comply,"Please refer section-9, page no. 1-40.",Comply,11
1186,"Keypad: Arranged to permit entry and execution of programming, display, and control commands and to indicate control commands to be entered into the system for control of smoke-detector sensitivity and other parameters.",Comply as noted,"Programming will be done by PC , Proposed Fire Alarm Control Panel has the display of 8 lines by 21 characters.",Noted,3
1186,"Keypad: Arranged to permit entry and execution of programming, display, and control commands and to indicate control commands to be entered into the system for control of smoke-detector sensitivity and other parameters.",Comply,Programming by PC,Comply,1
1186,"Keypad: Arranged to permit entry and execution of programming, display, and control commands and to indicate control commands to be entered into the system for control of smoke-detector sensitivity and other parameters.",Comply as noted,"Display Control Commands are available, but execution or programming can be done only by authorized Laptop. Refer to section 6 LCD Page 42.",Noted,1
1187,Circuits:,Comply,,Comply,21
1188,"Initiating Device, Notification Appliance, and Signaling Line Circuits: NFPA 72, Class A.",Comply,,Comply,14
1188,"Initiating Device, Notification Appliance, and Signaling Line Circuits: NFPA 72, Class A.",Noted,Installation wiring Under the scope of MEP contractor with our support to install inline with system and CDA requirement,Noted,2
1189,Serial Interfaces: Two RS-232 ports for printers.,Comply,,Comply,27
1189,Serial Interfaces: Two RS-232 ports for printers.,Noted,Installation wiring Under the scope of MEP contractor with our support to install inline with system and CDA requirement,Noted,2
1189,Serial Interfaces: Two RS-232 ports for printers.,Partially complied,,Complied with remark,2
1190,Stairwell Pressurization: Provide an output signal using an addressable relay to start the stairwell pressurization system. Signal shall remain on until alarm conditions are cleared and fire-alarm system is reset. Signal shall not stop in response to alarm acknowledge or signal silence commands.,Comply,,Comply,19
1190,Stairwell Pressurization: Provide an output signal using an addressable relay to start the stairwell pressurization system. Signal shall remain on until alarm conditions are cleared and fire-alarm system is reset. Signal shall not stop in response to alarm acknowledge or signal silence commands.,Comply,Please refer section 17: Cause & Effect Matrix,Comply,3
1190,Stairwell Pressurization: Provide an output signal using an addressable relay to start the stairwell pressurization system. Signal shall remain on until alarm conditions are cleared and fire-alarm system is reset. Signal shall not stop in response to alarm acknowledge or signal silence commands.,COMPLY,,Comply,1
1190,Stairwell Pressurization: Provide an output signal using an addressable relay to start the stairwell pressurization system. Signal shall remain on until alarm conditions are cleared and fire-alarm system is reset. Signal shall not stop in response to alarm acknowledge or signal silence commands.,Comply as noted,If Applicable,Noted,1
1191,Smoke-Alarm Verification:,Comply,,Comply,10
1191,Smoke-Alarm Verification:,Comply,Please refer section 17: Cause & Effect Matrix,Comply,3
1192,"Initiate audible and visible indication of an ""alarm-verification"" signal at Fire-Alarm Control Unit.",Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1192,"Initiate audible and visible indication of an ""alarm-verification"" signal at Fire-Alarm Control Unit.",Comply,,Comply,12
1192,"Initiate audible and visible indication of an ""alarm-verification"" signal at Fire-Alarm Control Unit.",Comply,Please refer section 17: Cause & Effect Matrix,Comply,3
1192,"Initiate audible and visible indication of an ""alarm-verification"" signal at Fire-Alarm Control Unit.",Comply.,,Comply,2
1193,"Activate an NRTL-listed and -approved ""alarm-verification"" sequence at Fire-Alarm Control Unit and detector.",Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1193,"Activate an NRTL-listed and -approved ""alarm-verification"" sequence at Fire-Alarm Control Unit and detector.",Comply,,Comply,12
1193,"Activate an NRTL-listed and -approved ""alarm-verification"" sequence at Fire-Alarm Control Unit and detector.",Comply.,,Comply,2
1194,Cancel Fire-Alarm Control Unit indication and system reset if the alarm is not verified.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1194,Cancel Fire-Alarm Control Unit indication and system reset if the alarm is not verified.,Comply,,Comply,12
1194,Cancel Fire-Alarm Control Unit indication and system reset if the alarm is not verified.,Comply,Please refer section 17: Cause & Effect Matrix,Comply,3
1194,Cancel Fire-Alarm Control Unit indication and system reset if the alarm is not verified.,Comply.,,Comply,2
1195,Notification Appliance Circuit: Operation shall sound in a temporal pattern.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1195,Notification Appliance Circuit: Operation shall sound in a temporal pattern.,Comply,,Comply,8
1196,Elevator Recall:,Comply,,Comply,16
1196,Elevator Recall:,Comply,Please refer section 17: Cause & Effect Matrix,Comply,3
1196,Elevator Recall:,Not Applicable,,Not applicable,1
1196,Elevator Recall:,COMPLY,,Comply,1
1197,Smoke detectors at the following locations shall initiate automatic elevator recall.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1197,Smoke detectors at the following locations shall initiate automatic elevator recall.,Comply,,Comply,12
1197,Smoke detectors at the following locations shall initiate automatic elevator recall.,Noted,,Noted,2
1197,Smoke detectors at the following locations shall initiate automatic elevator recall.,COMPLY,,Comply,1
1197,Smoke detectors at the following locations shall initiate automatic elevator recall.,Comply as noted,If Applicable,Noted,1
1198,a. Elevator lobby detectors except the lobby detector on the designated floor.,Comply,,Comply,10
1198,a. Elevator lobby detectors except the lobby detector on the designated floor.,Not Applicable,,Not applicable,1
1198,a. Elevator lobby detectors except the lobby detector on the designated floor.,COMPLY,,Comply,1
1199,b. Smoke detector in elevator machine room.,Comply,,Comply,10
1199,b. Smoke detector in elevator machine room.,Not Applicable,,Not applicable,1
1199,b. Smoke detector in elevator machine room.,COMPLY,,Comply,1
1200,c. Smoke detectors in elevator hoistway,Comply,,Comply,4
1200,c. Smoke detectors in elevator hoistway,COMPLY,,Comply,1
1201,Elevator lobby detectors located on the designated recall floors shall be programmed to move the cars to the alternate recall floor.,Comply,,Comply,25
1201,Elevator lobby detectors located on the designated recall floors shall be programmed to move the cars to the alternate recall floor.,Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1201,Elevator lobby detectors located on the designated recall floors shall be programmed to move the cars to the alternate recall floor.,Noted,,Noted,2
1201,Elevator lobby detectors located on the designated recall floors shall be programmed to move the cars to the alternate recall floor.,Not Applicable,,Not applicable,1
1201,Elevator lobby detectors located on the designated recall floors shall be programmed to move the cars to the alternate recall floor.,Comply as applicable,,Comply,1
1201,Elevator lobby detectors located on the designated recall floors shall be programmed to move the cars to the alternate recall floor.,COMPLY,,Comply,1
1201,Elevator lobby detectors located on the designated recall floors shall be programmed to move the cars to the alternate recall floor.,Comply as noted,If Applicable,Noted,1
1201,Elevator lobby detectors located on the designated recall floors shall be programmed to move the cars to the alternate recall floor.,Comply.,Please refer section 17: Cause & Effect Matrix,Comply,1
1202,a. Water-flow switch associated with the sprinkler in the elevator pit may have a delay to allow elevators to move to the designated floor.,Comply,,Comply,10
1202,a. Water-flow switch associated with the sprinkler in the elevator pit may have a delay to allow elevators to move to the designated floor.,Not Applicable,,Not applicable,1
1202,a. Water-flow switch associated with the sprinkler in the elevator pit may have a delay to allow elevators to move to the designated floor.,COMPLY,,Comply,1
1203,Door Controls: Door hold-open devices that are controlled by smoke detectors at doors in smoke barrier walls shall be not be connected to fire-alarm system,Noted,,Noted,3
1203,Door Controls: Door hold-open devices that are controlled by smoke detectors at doors in smoke barrier walls shall be not be connected to fire-alarm system,Not Applicable,By Other System,Not applicable,1
1204,"Voice/Alarm Signaling Service: Central emergency communication system with redundant microphones, preamplifiers, amplifiers, and tone generators provided as a special module that is part of Fire-Alarm Control Unit.",Comply as noted,Redundant Microphone is not applicable in the central unit in Main FACP.,Noted,3
1204,"Voice/Alarm Signaling Service: Central emergency communication system with redundant microphones, preamplifiers, amplifiers, and tone generators provided as a special module that is part of Fire-Alarm Control Unit.",Comply,,Comply,2
1204,"Voice/Alarm Signaling Service: Central emergency communication system with redundant microphones, preamplifiers, amplifiers, and tone generators provided as a special module that is part of Fire-Alarm Control Unit.",Not Applicable,Voice alarm evacuation message through PA system integrated with fire alarm. PA will be submitted under other submittal.,Not applicable,1
1205,"Indicated number of alarm channels for automatic, simultaneous transmission of different announcements to different zones or for manual transmission of announcements by use of the central-control microphone. Amplifiers shall comply with UL 1711 and be listed by an NRTL.",Comply,,Comply,15
1205,"Indicated number of alarm channels for automatic, simultaneous transmission of different announcements to different zones or for manual transmission of announcements by use of the central-control microphone. Amplifiers shall comply with UL 1711 and be listed by an NRTL.",Comply,C & E matrix will be submitted & obtained approval separately.,Comply,13
1205,"Indicated number of alarm channels for automatic, simultaneous transmission of different announcements to different zones or for manual transmission of announcements by use of the central-control microphone. Amplifiers shall comply with UL 1711 and be listed by an NRTL.",Comply,Product is UL listed,Comply,3
1205,"Indicated number of alarm channels for automatic, simultaneous transmission of different announcements to different zones or for manual transmission of announcements by use of the central-control microphone. Amplifiers shall comply with UL 1711 and be listed by an NRTL.",Not Applicable,Voice alarm evacuation message through PA system integrated with fire alarm. PA will be submitted under other submittal.,Not applicable,1
1206,"a. Allow the application of and evacuation signal to indicated number of zones and, at same time, allow voice paging to the other zones selectively or in any combination.",Comply,,Comply,3
1206,"a. Allow the application of and evacuation signal to indicated number of zones and, at same time, allow voice paging to the other zones selectively or in any combination.",COMPLY,,Comply,2
1206,"a. Allow the application of and evacuation signal to indicated number of zones and, at same time, allow voice paging to the other zones selectively or in any combination.",Not Applicable,Voice alarm evacuation message through PA system integrated with fire alarm. PA will be submitted under other submittal.,Not applicable,1
1207,b. Programmable tone and message sequence selection.,Comply,,Comply,3
1207,b. Programmable tone and message sequence selection.,COMPLY,,Comply,2
1207,b. Programmable tone and message sequence selection.,Not Applicable,Voice alarm evacuation message through PA system integrated with fire alarm. PA will be submitted under other submittal.,Not applicable,1
1208,"c. Standard digitally recorded messages for ""Evacuation"" and ""All Clear.""",Comply,,Comply,3
1208,"c. Standard digitally recorded messages for ""Evacuation"" and ""All Clear.""",COMPLY,,Comply,2
1208,"c. Standard digitally recorded messages for ""Evacuation"" and ""All Clear.""",Not Applicable,Voice alarm evacuation message through PA system integrated with fire alarm. PA will be submitted under other submittal.,Not applicable,1
1209,d. Generate tones to be sequenced with audio messages of type recommended by NFPA 72 and that are compatible with tone patterns of notification appliance circuits of Fire-Alarm Control Unit.,Comply,,Comply,3
1209,d. Generate tones to be sequenced with audio messages of type recommended by NFPA 72 and that are compatible with tone patterns of notification appliance circuits of Fire-Alarm Control Unit.,COMPLY,,Comply,2
1209,d. Generate tones to be sequenced with audio messages of type recommended by NFPA 72 and that are compatible with tone patterns of notification appliance circuits of Fire-Alarm Control Unit.,Not Applicable,Voice alarm evacuation message through PA system integrated with fire alarm. PA will be submitted under other submittal.,Not applicable,1
1210,"Primary Power: 24-V dc obtained from 120-V ac service and a power-supply module. Initiating devices, notification appliances, signaling lines, trouble signals, supervisory and digital alarm communicator transmitters and shall be powered by 24-V dc source.",Comply,,Comply,3
1210,"Primary Power: 24-V dc obtained from 120-V ac service and a power-supply module. Initiating devices, notification appliances, signaling lines, trouble signals, supervisory and digital alarm communicator transmitters and shall be powered by 24-V dc source.",Comply,230 Vac is provided by DEWA.,Comply,1
1211,Alarm current draw of entire fire-alarm system shall not exceed 80 percent of the power- supply module rating.,Comply,,Comply,33
1212,"Secondary Power: 24-V dc supply system with batteries, automatic battery charger, and automatic transfer switch.",Comply,,Comply,33
1212,"Secondary Power: 24-V dc supply system with batteries, automatic battery charger, and automatic transfer switch.",Comply,"Please refer section 9: Product data sheets, page no 18 of 127.",Comply,3
1213,"Batteries: Vented, well-cell pocket , plate nickel cadimuim.",Comply as noted,Sealed lead calcium Batteries are provided,Noted,4
1214,"General Requirements for Manual Fire-Alarm Boxes: Comply with UL 38. Boxes shall be finished in red with molded, raised-letter operating instructions in contrasting color; shall show visible indication of operation; and shall be mounted on recessed outlet box. If indicated as surface mounted, provide manufacturer's surface back box.",Comply,,Comply,13
1215,"Single-action mechanism, pull-lever type; with integral addressable module arranged to communicate manual-station status (normal, alarm, or trouble) to fire alarm control unit.",Comply,Please refer the SIGA-278 data sheet in section - 9.,Comply,11
1215,"Single-action mechanism, pull-lever type; with integral addressable module arranged to communicate manual-station status (normal, alarm, or trouble) to fire alarm control unit.",Comply,,Comply,4
1215,"Single-action mechanism, pull-lever type; with integral addressable module arranged to communicate manual-station status (normal, alarm, or trouble) to fire alarm control unit.",Comply with double action mechanism,Please refer the SIGA-278 data sheet in section - 8.,Comply,4
1215,"Single-action mechanism, pull-lever type; with integral addressable module arranged to communicate manual-station status (normal, alarm, or trouble) to fire alarm control unit.",Comply,Please refer the SIGA-278 data sheet in section-9.,Comply,2
